Date;Device;App;UsageTime;UsageCount
December 31, 2022;samsung SM-A536B;Yandex Music;3s;1
December 10, 2022;HUAWEI STK-LX1;Yandex Music;54s;2
December 11, 2022;HUAWEI STK-LX2;Yandex Music;4m 30s;15
December 12, 2022;HUAWEI STK-LX3;Yandex Music;8m 58s;36
December 13, 2022;HUAWEI STK-LX4;Yandex Music;6m 27s;18
December 14, 2022;HUAWEI STK-LX5;Yandex Music;5m 16s;18
December 15, 2022;HUAWEI STK-LX6;Yandex Music;4m 10s;20
December 16, 2022;HUAWEI STK-LX7;Yandex Music;3m 57s;16
December 17, 2022;HUAWEI STK-LX8;Yandex Music;6m 7s;20
December 18, 2022;HUAWEI STK-LX9;Yandex Music;2m 16s;14
December 19, 2022;HUAWEI STK-LX10;Yandex Music;13m 14s;39
December 20, 2022;HUAWEI STK-LX11;Yandex Music;1m 44s;15
December 21, 2022;HUAWEI STK-LX12;Yandex Music;5m 42s;22
December 22, 2022;HUAWEI STK-LX13;Yandex Music;4m 29s;8
December 23, 2022;HUAWEI STK-LX14;Yandex Music;0s;0
December 24, 2022;HUAWEI STK-LX15;Yandex Music;3m 41s;13
December 25, 2022;HUAWEI STK-LX16;Yandex Music;7m 19s;30
December 26, 2022;HUAWEI STK-LX17;Yandex Music;4m 51s;19
December 27, 2022;HUAWEI STK-LX18;Yandex Music;3m 39s;14
December 28, 2022;HUAWEI STK-LX19;Yandex Music;0s;0
December 29, 2022;HUAWEI STK-LX20;Yandex Music;2m 20s;10
December 30, 2022;HUAWEI STK-LX21;Yandex Music;2m 13s;11
December 31, 2022;HUAWEI STK-LX22;Yandex Music;1m;9
December 10, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 11, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 12, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 13, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 14, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 15, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 16, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 17, 2022;samsung SM-A536B;Main Screen One UI;0s;0
