"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"156","Drake","free time","Currents",0.283,2022-12-28 21:28:22,"slow","canadian hip hop",85
"157","Drake","free time","Down Hill",0.319,2022-12-28 21:53:49,"slow","canadian hip hop",85
"158","Drake","free time","Falling Back",0.758,2022-12-28 21:19:33,"fast","canadian hip hop",5
"159","Drake","free time","Falling Back",0.758,2022-12-29 17:08:33,"fast","canadian hip hop",6
"160","Drake","free time","Flight's Booked",0.41,2022-12-28 21:45:45,"medium","canadian hip hop",181
"161","Drake","free time","Jimmy Cooks (feat. 21 Savage)",0.673,2022-12-28 22:07:21,"fast","canadian hip hop",108
"162","Drake","free time","Liability",0.706,2022-12-28 22:04:02,"fast","canadian hip hop",82
"163","Drake","free time","Massive",0.671,2022-12-28 21:40:23,"fast","canadian hip hop",292
"164","Drake","free time","Overdrive",0.645,2022-12-28 21:50:37,"medium","canadian hip hop",11
"165","Drake","free time","Sticky",0.495,2022-12-28 21:36:56,"medium","canadian hip hop",173
"166","Drake","free time","Sticky",0.495,2022-12-29 17:25:56,"medium","canadian hip hop",43
"167","Drake","free time","Texts Go Green",0.627,2022-12-28 21:23:51,"medium","canadian hip hop",193
"168","Drake","free time","Tie That Binds",0.688,2022-12-28 21:58:23,"fast","canadian hip hop",40
"169","Drake","other","A Keeper",0.482,2022-12-29 17:20:06,"medium","canadian hip hop",8
"170","Drake","other","A Keeper",0.482,2022-12-29 18:34:06,"medium","canadian hip hop",11
"171","Drake","other","Calling My Name",0.276,2022-12-29 17:23:50,"slow","canadian hip hop",5
"172","Drake","other","Currents",0.283,2022-12-29 18:32:22,"slow","canadian hip hop",17
"173","Drake","other","Down Hill",0.319,2022-12-28 21:53:49,"slow","canadian hip hop",9
"174","Drake","other","Down Hill",0.319,2022-12-29 17:42:49,"slow","canadian hip hop",12
"175","Drake","other","Down Hill",0.319,2022-12-29 18:56:49,"slow","canadian hip hop",2
"176","Drake","other","Falling Back",0.758,2022-12-28 21:19:33,"fast","canadian hip hop",4
"177","Drake","other","Falling Back",0.758,2022-12-29 17:08:33,"fast","canadian hip hop",17
"178","Drake","other","Flight's Booked",0.41,2022-12-28 21:45:45,"medium","canadian hip hop",2
"179","Drake","other","Flight's Booked",0.41,2022-12-29 17:34:45,"medium","canadian hip hop",1
"180","Drake","other","Jimmy Cooks (feat. 21 Savage)",0.673,2022-12-28 22:07:21,"fast","canadian hip hop",5
"181","Drake","other","Jimmy Cooks (feat. 21 Savage)",0.673,2022-12-29 19:10:21,"fast","canadian hip hop",1
"182","Drake","other","Liability",0.706,2022-12-28 22:04:02,"fast","canadian hip hop",14
"183","Drake","other","Overdrive",0.645,2022-12-28 21:50:37,"medium","canadian hip hop",2
"184","Drake","other","Sticky",0.495,2022-12-28 21:36:56,"medium","canadian hip hop",12
"185","Drake","other","Sticky",0.495,2022-12-29 17:25:56,"medium","canadian hip hop",30
"186","Drake","other","Sticky",0.495,2022-12-29 18:39:56,"medium","canadian hip hop",2
"187","Drake","other","Tie That Binds",0.688,2022-12-28 21:58:23,"fast","canadian hip hop",171
"188","Drake","studies","A Keeper",0.482,2022-12-28 21:31:06,"medium","canadian hip hop",98
"189","Drake","studies","A Keeper",0.482,2022-12-29 17:20:06,"medium","canadian hip hop",107
"190","Drake","studies","A Keeper",0.482,2022-12-29 18:34:06,"medium","canadian hip hop",139
"191","Drake","studies","Calling My Name",0.276,2022-12-28 21:34:50,"slow","canadian hip hop",44
"192","Drake","studies","Calling My Name",0.276,2022-12-29 17:23:50,"slow","canadian hip hop",85
"193","Drake","studies","Calling My Name",0.276,2022-12-29 18:37:50,"slow","canadian hip hop",110
"194","Drake","studies","Currents",0.283,2022-12-28 21:28:22,"slow","canadian hip hop",69
"195","Drake","studies","Currents",0.283,2022-12-29 17:17:22,"slow","canadian hip hop",122
"196","Drake","studies","Currents",0.283,2022-12-29 18:32:22,"slow","canadian hip hop",117
"197","Drake","studies","Down Hill",0.319,2022-12-28 21:53:49,"slow","canadian hip hop",90
"198","Drake","studies","Down Hill",0.319,2022-12-29 17:42:49,"slow","canadian hip hop",201
"199","Drake","studies","Down Hill",0.319,2022-12-29 18:56:49,"slow","canadian hip hop",225
"200","Drake","studies","Falling Back",0.758,2022-12-28 21:19:33,"fast","canadian hip hop",224
"201","Drake","studies","Falling Back",0.758,2022-12-29 17:08:33,"fast","canadian hip hop",164
"202","Drake","studies","Falling Back",0.758,2022-12-29 18:22:33,"fast","canadian hip hop",226
"203","Drake","studies","Flight's Booked",0.41,2022-12-28 21:45:45,"medium","canadian hip hop",27
"204","Drake","studies","Flight's Booked",0.41,2022-12-29 17:34:45,"medium","canadian hip hop",226
"205","Drake","studies","Flight's Booked",0.41,2022-12-29 18:49:45,"medium","canadian hip hop",251
"206","Drake","studies","Intro",0.0218,2022-12-29 18:21:23,"slow","canadian hip hop",3
"207","Drake","studies","Jimmy Cooks (feat. 21 Savage)",0.673,2022-12-28 22:07:21,"fast","canadian hip hop",29
"208","Drake","studies","Jimmy Cooks (feat. 21 Savage)",0.673,2022-12-29 17:56:21,"fast","canadian hip hop",170
"209","Drake","studies","Jimmy Cooks (feat. 21 Savage)",0.673,2022-12-29 19:10:21,"fast","canadian hip hop",160
"210","Drake","studies","Liability",0.706,2022-12-28 22:04:02,"fast","canadian hip hop",57
"211","Drake","studies","Liability",0.706,2022-12-29 17:53:02,"fast","canadian hip hop",215
"212","Drake","studies","Liability",0.706,2022-12-29 19:07:02,"fast","canadian hip hop",246
"213","Drake","studies","Massive",0.671,2022-12-28 21:40:23,"fast","canadian hip hop",3
"214","Drake","studies","Massive",0.671,2022-12-29 17:29:23,"fast","canadian hip hop",285
"215","Drake","studies","Massive",0.671,2022-12-29 18:43:23,"fast","canadian hip hop",280
"216","Drake","studies","Overdrive",0.645,2022-12-28 21:50:37,"medium","canadian hip hop",126
"217","Drake","studies","Overdrive",0.645,2022-12-29 17:39:37,"medium","canadian hip hop",151
"218","Drake","studies","Overdrive",0.645,2022-12-29 18:53:37,"medium","canadian hip hop",165
"219","Drake","studies","Sticky",0.495,2022-12-28 21:36:56,"medium","canadian hip hop",66
"220","Drake","studies","Sticky",0.495,2022-12-29 17:25:56,"medium","canadian hip hop",136
"221","Drake","studies","Sticky",0.495,2022-12-29 18:39:56,"medium","canadian hip hop",223
"222","Drake","studies","Texts Go Green",0.627,2022-12-28 21:23:51,"medium","canadian hip hop",69
"223","Drake","studies","Texts Go Green",0.627,2022-12-29 17:12:51,"medium","canadian hip hop",207
"224","Drake","studies","Texts Go Green",0.627,2022-12-29 18:26:51,"medium","canadian hip hop",267
"225","Drake","studies","Tie That Binds",0.688,2022-12-28 21:58:23,"fast","canadian hip hop",92
"226","Drake","studies","Tie That Binds",0.688,2022-12-29 17:47:23,"fast","canadian hip hop",281
"227","Drake","studies","Tie That Binds",0.688,2022-12-29 19:01:23,"fast","canadian hip hop",259
"228","DYEN","free time","Depressed",0.865,2022-12-22 11:57:15,"fast","industrial techno",36
"229","DYEN","free time","Keep Me Sane",0.949,2022-12-17 21:14:36,"fast","industrial techno",29
"230","DYEN","free time","Keep Me Sane",0.949,2022-12-23 17:16:50,"fast","industrial techno",19
"231","DYEN","other","Keep Me Sane",0.949,2022-12-17 21:14:36,"fast","industrial techno",53
"232","DYEN","other","Keep Me Sane",0.949,2022-12-23 17:16:50,"fast","industrial techno",4
"233","DYEN","studies","Depressed",0.865,2022-12-22 11:57:15,"fast","industrial techno",298
"234","DYEN","studies","Keep Me Sane",0.949,2022-12-17 21:14:36,"fast","industrial techno",190
"235","DYEN","studies","Keep Me Sane",0.949,2022-12-23 17:16:50,"fast","industrial techno",168
"236","DYEN","studies","Keep Me Sane",0.949,2022-12-24 11:29:52,"fast","industrial techno",7
"237","Eagles","free time","Please Come Home for Christmas - 2013 Remaster",0.289,2022-12-18 12:01:02,"slow","album rock",45
"238","Eagles","studies","Please Come Home for Christmas - 2013 Remaster",0.289,2022-12-18 12:01:02,"slow","album rock",119
"239","Einsiedler","free time","Aftermath - AnD Remix",0.97,2022-12-22 12:11:52,"fast","cuban electronic",60
"240","Einsiedler","free time","Aftermath - AnD Remix",0.97,2022-12-27 13:49:08,"fast","cuban electronic",107
"241","Einsiedler","other","Aftermath - AnD Remix",0.97,2022-12-27 13:49:08,"fast","cuban electronic",26
"242","Einsiedler","studies","Aftermath - AnD Remix",0.97,2022-12-22 12:11:52,"fast","cuban electronic",176
"243","Einsiedler","studies","Aftermath - AnD Remix",0.97,2022-12-27 13:49:08,"fast","cuban electronic",170
"244","Eloy","free time","Astral Entrance / Master Of Sensation",0.386,2022-12-28 20:12:58,"medium","album rock",127
"245","Eloy","studies","Astral Entrance / Master Of Sensation",0.386,2022-12-28 20:12:58,"medium","album rock",197
"246","Elvis Presley","studies","Here Comes Santa Claus (Right Down Santa Claus Lane)",0.236,2022-12-18 11:55:04,"slow","rock-and-roll",115
"247","Elvis Presley","studies","Hound Dog",0.756,2022-12-25 20:24:58,"fast","rock-and-roll",1
"248","Faith Hill","studies","There You'll Be",0.532,2022-12-25 20:24:57,"medium","contemporary country",2
"249","Fenrick","free time","Feel the Bass",0.98,2022-12-17 19:40:32,"fast","french techno",112
"250","Fenrick","free time","Feel the Bass",0.98,2022-12-18 22:25:42,"fast","french techno",11
"251","Fenrick","free time","PUSH",0.966,2022-12-18 13:11:05,"fast","french techno",264
"252","Fenrick","free time","PUSH",0.966,2022-12-21 23:28:05,"fast","french techno",333
"253","Fenrick","free time","PUSH",0.966,2022-12-28 22:12:05,"fast","french techno",180
"254","Fenrick","other","Feel the Bass",0.98,2022-12-17 19:40:32,"fast","french techno",165
"255","Fenrick","other","Feel the Bass",0.98,2022-12-18 22:25:42,"fast","french techno",84
"256","Fenrick","other","PUSH",0.966,2022-12-18 13:11:05,"fast","french techno",1
"257","Fenrick","other","PUSH",0.966,2022-12-28 22:12:05,"fast","french techno",90
"258","Fenrick","studies","Feel the Bass",0.98,2022-12-17 19:40:32,"fast","french techno",17
"259","Fenrick","studies","Feel the Bass",0.98,2022-12-18 22:25:42,"fast","french techno",231
"260","Fenrick","studies","PUSH",0.966,2022-12-18 13:11:05,"fast","french techno",2
"261","Fenrick","studies","PUSH",0.966,2022-12-21 23:28:05,"fast","french techno",23
"262","Fenrick","studies","PUSH",0.966,2022-12-28 22:12:05,"fast","french techno",48
"263","Flowervillain","other","thinking bout forever",0.337,2022-12-29 19:25:39,"medium","experimental hip hop",59
"264","Flowervillain","studies","thinking bout forever",0.337,2022-12-29 18:08:39,"medium","experimental hip hop",176
"265","Flowervillain","studies","thinking bout forever",0.337,2022-12-29 19:25:39,"medium","experimental hip hop",123
"266","Fractions","free time","What Doesn't Kill Me",0.992,2022-12-23 23:52:48,"fast","acid techno",304
"267","Fractions","studies","What Doesn't Kill Me",0.992,2022-12-23 23:52:48,"fast","acid techno",44
"268","Frank Sinatra","studies","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",0.259,2022-12-18 12:08:24,"slow","adult standards",155
"269","Frank Zappa","free time","Uncle Remus",0.66,2022-12-28 00:16:10,"medium","album rock",169
"270","Genesis","free time","Hairless Heart",0.386,2022-12-27 23:48:49,"medium","album rock",130
"271","Gentle Giant","free time","A Reunion",0.232,2022-12-27 23:36:48,"slow","album rock",131
"272","Gentle Giant","free time","Aspirations",0.127,2022-12-27 22:09:39,"slow","album rock",320
"273","Gentle Giant","free time","Aspirations",0.127,2022-12-28 00:40:20,"slow","album rock",279
"274","Golpe","free time","I Am Your Dealer - Boris S. Remix",0.951,2022-12-19 22:21:41,"fast","deep hardtechno",74
"275","Golpe","other","I Am Your Dealer - Boris S. Remix",0.951,2022-12-19 22:21:41,"fast","deep hardtechno",13
"276","Golpe","studies","I Am Your Dealer - Boris S. Remix",0.951,2022-12-19 22:21:41,"fast","deep hardtechno",108
"277","Hans Zimmer","studies","Attack",0.396,2022-12-25 20:24:58,"medium","german soundtrack",1
"278","Hans Zimmer","studies","Brothers",0.503,2022-12-25 20:24:57,"medium","german soundtrack",2
