"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"149",2022-12-03 19:31:00,"King Crimson","Book Of Saturday",175.72,2022-12-03 19:28:04,2022-12-03,0.332,0.0818,9,-21.575,0,0.0472,0.597,1.82e-06,0.104,0.202,69.023,"album rock","slow"
"151",2022-12-03 19:43:00,"Black Sabbath","Planet Caravan",269.533,2022-12-03 19:38:30,2022-12-03,0.368,0.0595,9,-28.603,1,0.036,0.941,0.889,0.0827,0.338,90.127,"album rock","slow"
"152",2022-12-03 19:49:00,"Supertramp","Crime Of The Century - Remastered 2010",332.992,2022-12-03 19:43:27,2022-12-03,0.404,0.417,9,-14.33,0,0.0468,0.0978,0.249,0.0663,0.233,123.44,"album rock","medium"
"153",2022-12-03 19:52:00,"Aphrodite's Child","Aegian Sea",206.49,2022-12-03 19:48:33,2022-12-03,0.141,0.456,7,-13.194,1,0.0338,0.247,0.13,0.101,0.157,83.053,"art rock","medium"
"154",2022-12-03 19:52:00,"Aphrodite's Child","Aegian Sea",2.879,2022-12-03 19:51:57,2022-12-03,0.141,0.456,7,-13.194,1,0.0338,0.247,0.13,0.101,0.157,83.053,"art rock","medium"
"155",2022-12-03 19:54:00,"Aphrodite's Child","Aegian Sea",112.401,2022-12-03 19:52:07,2022-12-03,0.141,0.456,7,-13.194,1,0.0338,0.247,0.13,0.101,0.157,83.053,"art rock","medium"
"157",2022-12-03 20:02:00,"Dire Straits","Down To The Waterline",241.906,2022-12-03 19:57:58,2022-12-03,0.617,0.68,11,-11.605,0,0.0467,0.162,0.348,0.113,0.561,138.75,"album rock","fast"
"159",2022-12-03 20:15:00,"Led Zeppelin","No Quarter - Remaster",422.517,2022-12-03 20:07:57,2022-12-03,0.33,0.342,11,-14.09,1,0.0404,0.734,0.671,0.129,0.0795,142.95,"album rock","medium"
"161",2022-12-03 20:28:00,"Joy Division","New Dawn Fades - 2007 Remaster",291.706,2022-12-03 20:23:08,2022-12-03,0.387,0.525,2,-9.634,1,0.035,0.00236,0.769,0.251,0.258,78.339,"alternative rock","medium"
"162",2022-12-03 20:33:00,"Camel","Air Born",302.026,2022-12-03 20:27:57,2022-12-03,0.247,0.221,0,-15.299,0,0.0312,0.737,0.444,0.155,0.185,83.845,"album rock","slow"
"163",2022-12-03 20:42:00,"Frank Zappa","Watermelon In Easter Hay",547.96,2022-12-03 20:32:52,2022-12-03,0.486,0.433,9,-13.21,1,0.0439,0.192,0.031,0.124,0.295,110.936,"album rock","medium"
"165",2022-12-03 22:24:00,"Jethro Tull","We Used to Know - 2001 Remaster",159.52,2022-12-03 22:21:20,2022-12-03,0.247,0.458,4,-10.509,0,0.0322,0.105,3.33e-05,0.283,0.465,171.923,"album rock","medium"
"166",2022-12-03 22:28:00,"753","God Is Dead - O.B.I. 2001 Edit",1.17,2022-12-03 22:27:58,2022-12-03,0.48,0.988,9,-4.272,1,0.084,2.74e-05,0.863,0.175,0.28,150.007,"hard techno","fast"
"167",2022-12-03 22:28:00,"Jethro Tull","We Used to Know - 2001 Remaster",3.31,2022-12-03 22:27:56,2022-12-03,0.247,0.458,4,-10.509,0,0.0322,0.105,3.33e-05,0.283,0.465,171.923,"album rock","medium"
"168",2022-12-03 22:32:00,"Einsiedler","Aftermath - AnD Remix",261.137,2022-12-03 22:27:38,2022-12-03,0.452,0.97,1,-6.741,1,0.0926,8.37e-06,0.834,0.392,0.0922,147.01,"cuban electronic","fast"
"172",2022-12-03 23:10:00,"Midnight Vices","Stricto Sensu",363.776,2022-12-03 23:03:56,2022-12-03,0.51,0.985,7,-9.23,1,0.0539,0.000894,0.817,0.597,0.0563,148.992,"french techno","fast"
"173",2022-12-03 23:16:00,"Svetec","In Your Soul - Original Mix",357.517,2022-12-03 23:10:02,2022-12-03,0.553,0.995,10,-4.997,1,0.0675,0.0142,0.811,0.185,0.143,144.966,"raw techno","fast"
"174",2022-12-03 23:19:00,"B2","Open The Gates",165.095,2022-12-03 23:16:14,2022-12-03,0.521,0.999,1,-7.076,0,0.0823,0.000168,0.916,0.199,0.262,148,"techno rave","fast"
