Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
3427,Why Indian Truck Drivers Get Their Trucks Painted,https://www.youtube.com/watch?v=ZBOiXtnLORQ,VICE Asia,https://www.youtube.com/channel/UC8ZyfGD_qP-v75DGCzYQw6g,2022-02-14T11:53:50.250Z,ZBOiXtnLORQ,0 days 00:09:15,5267116,104193,0,5923,1410000
3428,INVISIBLE SCREEN MOD?? #Shorts,https://www.youtube.com/watch?v=m20pRMjhxhM,Phone Repair Guru,https://www.youtube.com/channel/UCCOrp7GPgZA8EGrbOcIAsyQ,2022-02-14T11:51:55.899Z,m20pRMjhxhM,0 days 00:00:20,4767206,306576,0,1195,3520000
3429,Galaxy Tab S8 Ultra - The iPad Pro Killer?,https://www.youtube.com/watch?v=Co5JmnB6opc,Canoopsy,https://www.youtube.com/channel/UCT3MTXYJzXrHgOXB5qicr_w,2022-02-14T11:41:45.315Z,Co5JmnB6opc,0 days 00:10:41,593870,16075,0,1460,266000
3430,How The Most Expensive Nannies In The World Train | So Expensive,https://www.youtube.com/watch?v=agLUDl4YpQg,Insider Business,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2022-02-14T11:40:05.535Z,agLUDl4YpQg,0 days 00:06:55,9000554,172492,0,9236,7320000
3431,The Office | Every Cold Open (Season 5 Part 1),https://www.youtube.com/watch?v=m5282zXJdBo,Peacock,https://www.youtube.com/channel/UCPgMAS8woHJ_o_OZdTR7kcQ,2022-02-14T11:37:59.803Z,m5282zXJdBo,0 days 00:16:32,2432198,27238,0,485,770000
3432,NEW AirPods 3 - I’m switching from AirPods Pro!,https://www.youtube.com/watch?v=65QX8zCgqDI,Nico,https://www.youtube.com/channel/UC73eX1A9FZDCJ__vKE2RIxA,2022-02-14T11:36:42.020Z,65QX8zCgqDI,0 days 00:06:30,1836,69,0,9,860
3433,Powystawowe oszustwo czyli chińskie iPhone z allegro,https://www.youtube.com/watch?v=pIjEqawkckQ,Rafal Bielawski,https://www.youtube.com/channel/UCMsi03EhTUsUs2OtPus6XDQ,2022-02-14T11:31:45.815Z,pIjEqawkckQ,0 days 00:23:01,67003,1369,0,123,52500
3434,The New 2022 Range Rover Is an Amazing Ultra-Luxury SUV,https://www.youtube.com/watch?v=MJJOwCezkjk,Doug DeMuro,https://www.youtube.com/channel/UCsqjHFMB_JYTaEnf_vmTNqg,2022-02-14T11:28:46.493Z,MJJOwCezkjk,0 days 00:24:38,3290499,53754,0,4898,4550000
3435,JAK WYGLĄDA PRACA W RADIO ZET? Ile zarabia prezenter radiowy? | DO ROBOTY,https://www.youtube.com/watch?v=oTCr_HC_57I,Do Roboty,https://www.youtube.com/channel/UCF5Ug3YNz41qauWNMacdLgw,2022-02-14T09:47:04.431Z,oTCr_HC_57I,0 days 00:44:19,699851,17896,0,1343,457000
3436,Justin's Weight Loss Astounds Dr Now! | My 600lb Life,https://www.youtube.com/watch?v=ANTSjSpBh7s,tlc uk,https://www.youtube.com/channel/UC2vlpX8sNDBmPcY_1_QSGJg,2022-02-14T09:43:37.936Z,ANTSjSpBh7s,0 days 00:07:58,7969105,141923,0,12236,6320000
3437,"Best Of The Accountants (Kevin, Oscar and Angela) | The Office U.S. | Comedy Bites",https://www.youtube.com/watch?v=ttErygB2xqQ,Comedy Bites,https://www.youtube.com/channel/UCGfUuxBzB8E30XjCjOvji2w,2022-02-14T09:42:23.552Z,ttErygB2xqQ,0 days 00:09:35,832259,19256,0,362,398000
3438,Bawarski SUV w zupełnie nowej odsłonie! #Najlepsze_Premiery,https://www.youtube.com/watch?v=uvSf9bJaNUk,TVN Turbo,https://www.youtube.com/channel/UCfsSoUSQzUimrjKhAKmshDQ,2022-02-14T09:40:08.536Z,uvSf9bJaNUk,0 days 00:02:54,18789,449,0,40,593000
3439,This is the MOST luxurious truck EVER!,https://www.youtube.com/watch?v=vSWJnhTGGSY,carwow,https://www.youtube.com/channel/UCUhFaUpnq31m6TNX2VKVSVA,2022-02-14T01:09:39.602Z,vSWJnhTGGSY,0 days 00:13:39,4704979,121057,0,4696,7790000
3440,iPhone XR Looks Like it Fell Out Of A Car.. Restored,https://www.youtube.com/watch?v=_sVKgIjEDvo,Phone Repair Guru,https://www.youtube.com/channel/UCCOrp7GPgZA8EGrbOcIAsyQ,2022-02-14T01:07:41.896Z,_sVKgIjEDvo,0 days 00:06:05,420363,18522,0,1210,3520000
